name,first_name,last_name,birth_city,birth_state,birth_country,birth_date,college,draft_team,draft_round,draft_pick,draft_year,position,height_feet,height_inches,height
Tony Scheffler,Tony,Scheffler,Morenci,MI,USA,2/15/1983,West. Michigan,Denver Broncos,2nd,61,2006,TE,6,5,6-5
Tim Jennings,Tim,Jennings,Orangeburg,SC,USA,12/24/1983,Georgia,Indianapolis Colts,2nd,62,2006,DB,5,8,5-8
Darryl Tapp,Darryl,Tapp,Portsmouth,VA,USA,9/13/1984,Virginia Tech,Seattle Seahawks,2nd,63,2006,DE,6,1,6-1
Tarvaris Jackson,Tarvaris,Jackson,Mongtomery,AL,USA,4/21/1983,Arkansas,Minnesota Vikings,2nd,64,2006,QB,6,2,6-2
Charles Spencer,Charles,Spencer,Poughkeepsie,NY,USA,3/17/1982,Pittsburgh,Houston Texans,3rd,65,2006,G,6,5,6-5
Eric Winston,Eric,Winston,Midland,TX,USA,11/17/1983,Miami (FL),Houston Texans,3rd,66,2006,T,6,6,6-6
Abdul Hodge,Abdul,Hodge,St. Thomas,,Virgin Islands,9/9/1982,Iowa,Green Bay Packers,3rd,67,2006,LB,6,0,6-0
Claude Wroten,Claude,Wroten,Bastrop,LA,USA,9/16/1983,LSU,St. Louis Rams,3rd,68,2006,DT,6,2,6-2
Paul McQuistan,Paul,McQuistan,Lebanon,OR,USA,4/30/1983,Weber St.,Oakland Raiders,3rd,69,2006,T,6,5,6-5
Ashton Youboty,Ashton,Youboty,,,,7/7/1984,Ohio St.,Buffalo Bills,3rd,70,2006,DB,6,1,6-1
Chris Gocong,Chris,Gocong,Lancaster,CA,USA,11/16/1983,Cal Poly-San Luis Obispo,Philadelphia Eagles,3rd,71,2006,DE,6,2,6-2
Leonard Pope,Leonard,Pope,Americus,GA,USA,9/9/1983,Georgia,Arizona Cardinals,3rd,72,2006,TE,6,6,6-6
Dusty Dvoracek,Dusty,Dvoracek,Lake Dallas,TX,USA,3/3/1981,Oklahoma,Chicago Bears,3rd,73,2006,DT,6,2,6-2
Brian Calhoun,Brian,Calhoun,Atlanta,GA,USA,5/8/1984,Wisconsin,Detroit Lions,3rd,74,2006,RB,5,10,5-10
Jason Spitz,Jason,Spitz,Jacksonville,FL,USA,12/19/1982,Louisville,Green Bay Packers,3rd,75,2006,G,6,4,6-4
Anthony Schlegel,Anthony,Schlegel,Cedar Rapids,IA,USA,3/1/1981,Air Force,New York Jets,3rd,76,2006,LB,6,1,6-1
Jon Alston,Jon,Alston,Shreveport,LA,USA,6/4/1983,Stanford,St. Louis Rams,3rd,77,2006,LB,6,0,6-0
Travis Wilson,Travis,Wilson,Carrollton,TX,USA,2/11/1984,Oklahoma,Cleveland Browns,3rd,78,2006,WR,6,1,6-1
Jerious Norwood,Jerious,Norwood,Jackson,MS,USA,7/29/1983,Mississippi St.,Atlanta Falcons,3rd,79,2006,RB,6,0,6-0
Clint Ingram,Clint,Ingram,Hallsville,TX,USA,3/21/1983,Oklahoma,Jacksonville Jaguars,3rd,80,2006,LB,6,1,6-1
Charlie Whitehurst,Charlie,Whitehurst,Green Bay,WI,USA,8/6/1982,Clemson,San Diego Chargers,3rd,81,2006,QB,6,4,6-4
Derek Hagan,Derek,Hagan,Northridge,CA,USA,9/21/1984,Arizona St.,Miami Dolphins,3rd,82,2006,WR,6,1,6-1
Anthony Smith,Anthony,Smith,Hubbard,OH,USA,9/20/1983,Syracuse,Pittsburgh Steelers,3rd,83,2006,DB,5,11,5-11
Brandon Williams,Brandon,Williams,St. Louis,MO,USA,2/24/1984,Wisconsin,San Francisco 49ers,3rd,84,2006,WR,5,10,5-10
Brodie Croyle,Brodie,Croyle,Rainbow City,AL,USA,2/6/1983,Alabama,Kansas City Chiefs,3rd,85,2006,QB,6,2,6-2
David Thomas,David,Thomas,Plainview,TX,USA,7/5/1983,Texas,New England Patriots,3rd,86,2006,TE,6,3,6-3
David Pittman,David,Pittman,Gramercy,LA,USA,10/14/1983,NW State (LA),Baltimore Ravens,3rd,87,2006,DB,6,0,6-0
James Anderson,James,Anderson,Roanoke Rapids,NC,USA,9/26/1983,Virginia Tech,Carolina Panthers,3rd,88,2006,LB,6,3,6-3
Rashad Butler,Rashad,Butler,Palm Beach Gardens,FL,USA,2/10/1983,Miami (FL),Carolina Panthers,3rd,89,2006,T,6,5,6-5
Maurice Stovall,Maurice,Stovall,Philadelphia,PA,USA,2/21/1985,Notre Dame,Tampa Bay Buccaneers,3rd,90,2006,WR,6,4,6-4
Frostee Rucker,Frostee,Rucker,Tustin,CA,USA,9/14/1983,USC,Cincinnati Bengals,3rd,91,2006,DE,6,3,6-3
Jason Hatcher,Jason,Hatcher,Alexandria,LA,USA,7/13/1982,Grambling St.,Dallas Cowboys,3rd,92,2006,DE,6,7,6-7
Dominique Byrd,Dominique,Byrd,Minneapolis,MN,USA,2/7/1984,USC,St. Louis Rams,3rd,93,2006,TE,6,2,6-2
Freddie Keiaho,Freddie,Keiaho,Ventura,CA,USA,12/18/1982,San Diego St.,Indianapolis Colts,3rd,94,2006,LB,5,11,5-11
Willie Reid,Willie,Reid,Kathleen,GA,USA,9/19/1982,Florida St.,Pittsburgh Steelers,3rd,95,2006,WR,5,10,5-10
Gerris Wilkinson,Gerris,Wilkinson,Oakland,CA,USA,4/5/1983,Georgia Tech,New York Giants,3rd,96,2006,LB,6,3,6-3
Eric Smith,Eric,Smith,Groveport,OH,USA,3/17/1983,Michigan St.,New York Jets,3rd,97,2006,DB,6,1,6-1
Ahmad Brooks,Ahmad,Brooks,Fairfax,VA,USA,3/14/1984,Virginia,Cincinnati Bengals,3rd,,2006,LB,6,4,6-4
Owen Daniels,Owen,Daniels,Naperville,IL,USA,11/9/1982,Wisconsin,Houston Texans,4th,98,2006,TE,6,3,6-3
Max Jean-Gilles,Max,Jean-Gilles,Miami,FL,USA,11/19/1983,Georgia,Philadelphia Eagles,4th,99,2006,G,6,4,6-4
Michael Robinson,Michael,Robinson,Richmond,VA,USA,2/6/1983,Penn St.,San Francisco 49ers,4th,100,2006,WR,6,1,6-1
Darnell Bing,Darnell,Bing,Long Beach,CA,USA,9/10/1984,USC,Oakland Raiders,4th,101,2006,DB,6,2,6-2
Calvin Lowry,Calvin,Lowry,Fort Hood,TX,USA,2/13/1983,Penn St.,Tennessee Titans,4th,102,2006,DB,5,11,5-11
Brad Smith,Brad,Smith,Youngstown,OH,USA,12/12/1983,Missouri,New York Jets,4th,103,2006,QB,6,2,6-2
Ko Simpson,Ko,Simpson,Rock Hill,SC,USA,11/9/1983,South Carolina,Buffalo Bills,4th,105,2006,DB,6,1,6-1
Garrett Mills,Garrett,Mills,Tulsa,OK,USA,10/12/1983,Tulsa,New England Patriots,4th,106,2006,FB,6,1,6-1
Gabe Watson,Gabe,Watson,Novi,MI,USA,9/24/1983,Michigan,Arizona Cardinals,4th,107,2006,DT,6,3,6-3
Jahri Evans,Jahri,Evans,Philadelphia,PA,USA,8/22/1983,Bloomsburg,New Orleans Saints,4th,108,2006,T,6,4,6-4
Jason Avant,Jason,Avant,Chicago,IL,USA,4/20/1983,Michigan,Philadelphia Eagles,4th,109,2006,WR,6,0,6-0
Leon Williams,Leon,Williams,Brooklyn,NY,USA,7/30/1983,Miami (FL),Cleveland Browns,4th,110,2006,LB,6,3,6-3
Demetrius Williams,Demetrius,Williams,Concord,CA,USA,3/28/1983,Oregon,Baltimore Ravens,4th,111,2006,WR,6,1,6-1
Isaac Sowells,Isaac,Sowells,Durango,CO,USA,5/4/1982,Indiana,Cleveland Browns,4th,112,2006,T,6,3,6-3
Victor Adeyanju,Victor,Adeyanju,,,,2/11/1983,Indiana,St. Louis Rams,4th,113,2006,DE,6,4,6-4
Will Blackmon,Will,Blackmon,Providence,RI,USA,10/27/1984,Boston Col.,Green Bay Packers,4th,115,2006,DB,6,0,6-0
Stephen Tulloch,Stephen,Tulloch,Miami,FL,USA,1/1/1985,North Carolina St.,Tennessee Titans,4th,116,2006,LB,5,11,5-11
Leon Washington,Leon,Washington,Jacksonville,FL,USA,8/29/1982,Florida St.,New York Jets,4th,117,2006,RB,5,8,5-8
Stephen Gostkowski,Stephen,Gostkowski,Baton Rouge,LA,USA,1/28/1984,Memphis,New England Patriots,4th,118,2006,K,6,2,6-2
Brandon Marshall,Brandon,Marshall,Pittsburgh,PA,USA,3/23/1984,Central Florida,Denver Broncos,4th,119,2006,WR,6,4,6-4
Jamar Williams,Jamar,Williams,Houston,TX,USA,6/14/1984,Arizona St.,Chicago Bears,4th,120,2006,LB,6,1,6-1
Nate Salley,Nate,Salley,Fort Lauderdale,FL,USA,2/5/1984,Ohio St.,Carolina Panthers,4th,121,2006,DB,6,3,6-3
Domata Peko,Domata,Peko,Los Angeles County,CA,USA,11/27/1984,Michigan St.,Cincinnati Bengals,4th,123,2006,DT,6,3,6-3
Barry Cofield,Barry,Cofield,Cleveland,OH,USA,3/19/1984,Northwestern,New York Giants,4th,124,2006,DT,6,3,6-3
Skyler Green,Skyler,Green,Houma,LA,USA,9/12/1984,LSU,Dallas Cowboys,4th,125,2006,WR,5,9,5-9
Elvis Dumervil,Elvis,Dumervil,Miami,FL,USA,1/19/1984,Louisville,Denver Broncos,4th,126,2006,DE,6,0,6-0
Ray Edwards,Ray,Edwards,Cincinnati,OH,USA,1/1/1985,Purdue,Minnesota Vikings,4th,127,2006,DE,6,5,6-5
Rob Sims,Rob,Sims,Macedonia,OH,USA,12/6/1983,Ohio St.,Seattle Seahawks,4th,128,2006,G,6,3,6-3
Guy Whimper,Guy,Whimper,Honolulu,HI,USA,5/21/1983,East Carolina,New York Giants,4th,129,2006,T,6,5,6-5
Domenik Hixon,Domenik,Hixon,Neukirchen,,Germany,10/8/1984,Akron,Denver Broncos,4th,130,2006,WR,6,2,6-2
Willie Colon,Willie,Colon,Bronx,NY,USA,4/9/1983,Hofstra,Pittsburgh Steelers,4th,131,2006,G,6,3,6-3
P.J. Daniels,PJ,Daniels,,,,12/21/1982,,Baltimore Ravens,4th,132,2006,RB,5,10,5-10
Orien Harris,Orien,Harris,Newark,DE,USA,6/3/1983,Miami (FL),Pittsburgh Steelers,4th,133,2006,DT,6,3,6-3
Kyle Williams,Kyle,Williams,Ruston,LA,USA,6/10/1983,LSU,Buffalo Bills,5th,134,2006,DT,6,1,6-1
Rob Ninkovich,Rob,Ninkovich,New Lenox,IL,USA,2/1/1984,Purdue,New Orleans Saints,5th,135,2006,DE,6,3,6-3
Ryan O'Callaghan,Ryan,OCallaghan,Susanville,CA,USA,7/19/1983,California,New England Patriots,5th,136,2006,T,6,6,6-6
Terna Nande,Terna,Nande,Grand Rapids,MI,USA,6/17/1983,Miami (OH),Tennessee Titans,5th,137,2006,LB,6,0,6-0
Pat Watkins,Pat,Watkins,Tallahassee,FL,USA,12/18/1982,Florida St.,Dallas Cowboys,5th,138,2006,DB,6,4,6-4
Quinn Ojinnaka,Quinn,Ojinnaka,Seabrook,MD,USA,4/23/1984,Syracuse,Atlanta Falcons,5th,139,2006,G,6,5,6-5
Parys Haralson,Parys,Haralson,Flora,MS,USA,1/24/1984,Tennessee,San Francisco 49ers,5th,140,2006,DE,6,1,6-1
Jonathan Scott,Jonathan,Scott,Dallas,TX,USA,1/10/1983,Texas,Detroit Lions,5th,141,2006,T,6,6,6-6
Brandon Johnson,Brandon,Johnson,Birmingham,AL,USA,4/5/1983,Louisville,Arizona Cardinals,5th,142,2006,LB,6,5,6-5
Brad Butler,Brad,Butler,Lynchburg,VA,USA,9/18/1983,Virginia,Buffalo Bills,5th,143,2006,T,6,7,6-7
Marques Hagans,Marques,Hagans,Newort News,VA,USA,12/29/1982,Virginia,St. Louis Rams,5th,144,2006,WR,5,10,5-10
Jerome Harrison,Jerome,Harrison,Kalamazoo,MI,USA,2/26/1983,Washington St.,Cleveland Browns,5th,145,2006,RB,5,9,5-9
Dawan Landry,Dawan,Landry,Ama,LA,USA,12/30/1982,Georgia Tech,Baltimore Ravens,5th,146,2006,DB,6,1,6-1
Ingle Martin,Ingle,Martin,Memphis,TN,USA,8/15/1982,Furman,Green Bay Packers,5th,148,2006,QB,6,2,6-2
Greg Blue,Greg,Blue,College Park,GA,USA,3/12/1982,Georgia,Minnesota Vikings,5th,149,2006,DB,6,2,6-2
Jason Pociask,Jason,Pociask,Indianapolis,IN,USA,2/9/1983,Wisconsin,New York Jets,5th,150,2006,TE,6,3,6-3
Tim Dobbins,Tim,Dobbins,Nashville,TN,USA,12/10/1982,Iowa St.,San Diego Chargers,5th,151,2006,LB,6,1,6-1
Anthony Montgomery,Anthony,Montgomery,Cleveland,OH,USA,3/8/1984,Minnesota,Washington Redskins,5th,153,2006,NT,6,5,6-5
Marcus Maxey,Marcus,Maxey,Navasota,TX,USA,2/2/1983,Miami (FL),Kansas City Chiefs,5th,154,2006,DB,6,3,6-3
Jeff King,Jeff,King,Pulaski,VA,USA,2/19/1983,Virginia Tech,Carolina Panthers,5th,155,2006,TE,6,5,6-5
Julian Jenkins,Julian,Jenkins,Boston,MA,USA,10/25/1983,Stanford,Tampa Bay Buccaneers,5th,156,2006,DE,6,4,6-4
A.J. Nicholson,AJ,Nicholson,Winston-Salem,NC,USA,6/25/1983,Florida St.,Cincinnati Bengals,5th,157,2006,LB,6,0,6-0
Charlie Peprah,Charlie,Peprah,Plano,TX,USA,2/24/1983,Alabama,New York Giants,5th,158,2006,DB,5,11,5-11
Mark Anderson,Mark,Anderson,Tulsa,OK,USA,5/26/1983,Alabama,Chicago Bears,5th,159,2006,DE,6,4,6-4
Brent Hawkins,Brent,Hawkins,Jerseyville,IL,USA,9/1/1983,Purdue,Jacksonville Jaguars,5th,160,2006,DE,6,2,6-2
Chris Kuper,Chris,Kuper,Anchorage,AK,USA,12/19/1982,North Dakota,Denver Broncos,5th,161,2006,G,6,4,6-4
Michael Toudouze,Michael,Toudouze,San Antonio,TX,USA,4/27/1983,TCU,Indianapolis Colts,5th,162,2006,G,6,6,6-6
David Kirtman,David,Kirtman,Mercer Island,WA,USA,2/12/1983,USC,Seattle Seahawks,5th,163,2006,RB,6,0,6-0
Tony Moll,Tony,Moll,Sonoma,CA,USA,8/23/1983,Nevada-Reno,Green Bay Packers,5th,165,2006,T,6,4,6-4
Quinn Sypniewski,Quinn,Sypniewski,Des Moines,IA,USA,4/14/1982,Colorado,Baltimore Ravens,5th,166,2006,TE,6,6,6-6
Omar Gaither,Omar,Gaither,Charlotte,NC,USA,3/18/1984,Tennessee,Philadelphia Eagles,5th,168,2006,LB,6,2,6-2
Jesse Mahelona,Jesse,Mahelona,Honolulu,HI,USA,4/7/1983,Tennessee,Tennessee Titans,5th,169,2006,DT,6,1,6-1
Wali Lundy,Wali,Lundy,New Brunswick,NJ,USA,9/8/1983,Virginia,Houston Texans,6th,170,2006,RB,5,10,5-10
Mike Hass,Mike,Hass,Portland,OR,USA,1/2/1983,Oregon St.,New Orleans Saints,6th,171,2006,WR,6,1,6-1
Reed Doughty,Reed,Doughty,Greeley,CO,USA,11/4/1982,Northern Colorado,Washington Redskins,6th,173,2006,DB,6,1,6-1
Delanie Walker,Delanie,Walker,Pomona,CA,USA,8/12/1984,Central Missouri St.,San Francisco 49ers,6th,175,2006,WR,6,1,6-1
Kevin Boothe,Kevin,Boothe,Plantation,FL,USA,7/5/1983,Cornell,Oakland Raiders,6th,176,2006,T,6,5,6-5
Jon Lewis,Jon,Lewis,Richmond,VA,USA,7/12/1984,Virginia Tech,Arizona Cardinals,6th,177,2006,DT,6,1,6-1
Keith Ellison,Keith,Ellison,Los Angeles,CA,USA,2/6/1984,San Diego St.,Buffalo Bills,6th,178,2006,LB,6,1,6-1
Lawrence Vickers,Lawrence,Vickers,Beaumont,TX,USA,5/8/1983,Colorado,Cleveland Browns,6th,180,2006,FB,6,0,6-0
Babatunde Oshinowo,Babatunde,Oshinowo,Naperville,IL,USA,1/14/1983,Stanford,Cleveland Browns,6th,181,2006,DT,6,1,6-1
Montavious Stanley,Montavious,Stanley,Albany,GA,USA,9/10/1981,Louisville,Dallas Cowboys,6th,182,2006,DT,6,2,6-2
Johnny Jolly,Johnny,Jolly,Houston,TX,USA,2/21/1983,Texas A&M,Green Bay Packers,6th,183,2006,DT,6,3,6-3
Adam Jennings,Adam,Jennings,Granite Bay,CA,USA,11/17/1982,Fresno St.,Atlanta Falcons,6th,184,2006,WR,5,9,5-9
Tyrone Culver,Tyrone,Culver,Lancaster,CA,USA,7/6/1983,Fresno St.,Minnesota Vikings,6th,185,2006,DB,6,0,6-0
Tre Stallings,Tre,Stallings,McComb,MS,USA,1/8/1983,Mississippi St.,Kansas City Chiefs,6th,186,2006,G,6,3,6-3
Jeromey Clary,Jeromey,Clary,Norfolk,NE,USA,11/5/1983,Kansas St.,San Diego Chargers,6th,187,2006,T,6,6,6-6
Drew Coleman,Drew,Coleman,Henderson,TX,USA,4/22/1983,TCU,New York Jets,6th,189,2006,DB,5,8,5-8
Jeff Webb,Jeff,Webb,Pontiac,MI,USA,1/31/1982,San Diego St.,Kansas City Chiefs,6th,190,2006,WR,6,2,6-2
Jeremy Mincey,Jeremy,Mincey,Statesboro,GA,USA,12/14/1983,Florida,New England Patriots,6th,191,2006,DE,6,4,6-4
Marcus Hudson,Marcus,Hudson,Miami,FL,USA,11/15/1982,North Carolina St.,San Francisco 49ers,6th,192,2006,DB,6,2,6-2
Reggie McNeal,Reggie,McNeal,Lufkin,TX,USA,9/20/1983,Texas A&M,Cincinnati Bengals,6th,193,2006,QB,6,2,6-2
Bruce Gradkowski,Bruce,Gradkowski,Pittsburgh,PA,USA,1/27/1983,Toledo,Tampa Bay Buccaneers,6th,194,2006,QB,6,1,6-1
J.D. Runnels,JD,Runnels,Midwest City,OK,USA,6/19/1984,Oklahoma,Chicago Bears,6th,195,2006,RB,5,11,5-11
Kedric Golston,Kedric,Golston,Tyrone,GA,USA,5/30/1983,Georgia,Washington Redskins,6th,196,2006,DT,6,4,6-4
Melvin Oliver,Melvin,Oliver,Opelika,AL,USA,7/25/1983,LSU,San Francisco 49ers,6th,197,2006,DE,6,3,6-3
Charlie Johnson,Charlie,Johnson,Durant,OK,USA,5/2/1984,Oklahoma St.,Indianapolis Colts,6th,199,2006,T,6,3,6-3
Sam Koch,Sam,Koch,York,NE,USA,8/13/1982,Nebraska,Baltimore Ravens,6th,203,2006,P,5,11,5-11
LaJuan Ramsey,LaJuan,Ramsey,Compton,CA,USA,3/19/1984,USC,Philadelphia Eagles,6th,204,2006,DT,6,2,6-2
LeKevin Smith,LeKevin,Smith,Macon,GA,USA,7/21/1982,Nebraska,New England Patriots,6th,206,2006,DT,6,1,6-1
Antoine Bethea,Antoine,Bethea,Newport News,VA,USA,7/27/1984,Howard,Indianapolis Colts,6th,207,2006,DB,5,11,5-11
Derrick Martin,Derrick,Martin,Denver,CO,USA,5/16/1985,Wyoming,Baltimore Ravens,6th,208,2006,DB,5,10,5-10
Ethan Kilmer,Ethan,Kilmer,Towanda,PA,USA,1/31/1983,Shippensburg,Cincinnati Bengals,7th,209,2006,WR,6,0,6-0
